Author Index for Volume 94


Aaboe, M 1465
Nicolas, P 1823
Nicoletti, R 785
Nielsen, O 1864
Nieto, A 743
Nihei, Z 1130
Nikitenko, LL 1
Nilsson, B 1683
Nilsson, S 1658
Ninomiya, H 1485
Nishikawa, N 914
Nishimura, M 1816
Nishizaki, T 1874
Nissan, A 681, 1762
Njar, VCO 513
N'Kontchou, G 287
Noel, A 724
Nomura, K 1485
Nomura, S 552
Noonan, DN 1428
Norat, T 299
Nørgaard, M 1339
Nørgård, B 142
Norman, A 507
Norman, AR 351, 1107
Normanno, N 1233
Northover, J 121
Norton, A 18
Nose, T 737
Nowak, R 1761
Nozawa, H 311
Nutting, CM 631
Nuzzo, C 1789
Nuzzo, F 1233
O'Brien, M 1383
O'Brien, MER 18
O'Brien, PM 904
Oda, K 1816
Odell, E 1170
O'Donnell, J 189
O'Dwyer, M 398
Oei, AL 814
Ogasawara, Y 247
Ogi, K 914
Ogimoto, I 737
Ohbuchi, T 275
Ohyashiki, JH 599
Ohyashiki, K 599
Oishi, T 1599
Ojanen, M 1245
Oka, M 1267
Okada, F 854
Okamura, K 1586
O'Keane, C 1204
Okumura, S 1485
Old, LJ 681
Oldenburg, J 820
Onda, T 698
O'Neill, PA 1057
Onesto, C 1516
Ong, S 964
Ono, K 896
Onuma, K 854
Oosting, J 661
Oppitz, U 1194
O'Quigley, J 609
Orditura, M 1604
Ørntoft, TF 1465
Osann, K 642
Osborne, R 62
Oshikiri, T 275
Østerlind, A 743
Ostler, P 363
Ostrowski, J 586
Ota, H 311
Otani, T 740
O'Toole, EA 1446
O'Toole, L 469
Ottensmeier, C 1383
Ouellet, V 436
Overall, CM 941
Oya, R 1580
Oyama, T 896
Oza, AM 1136
Pabst, T 1918
Pacilio, C 1233
Pagès, G 1516
Paglierani, M 1637
Pahl, S 540
Paillot, B 69
Palli, D 299
Palmari, J 239
Palmer, JR 1734
Palmieri, G 1604
Pancrazzi, A 1637
Panetta, JC 93
Paoletti, F 1637
Papa, MZ 1537
Papaldo, P 1789
Pappin, C 51
Paracchini, V 1533
Parikh, NU 1710
Parisi, V 1809
Park, BH 455
Park, SR 1402
Park, YH 959
Parker, C 1361
Parkin, D 62
Parkin, DM 450
Parkinson, MC 499
Parks, RW 213
Parodi, F 1845
Paroush, Z 771
Parry, EM 891
Parry, JM 891
Pasetto, L 785
Passmore, SJ 22
Passoni, P 785
Patel, KK 1122
Patel, N 1446
Patel, PH 614
Paul, J 62
Paulissen, G 724
Paziewska, A 586
Pedersen, L 1339
Pedrazzoli, P 1016
Peeters, M 481
Peeters, PHM 299
Penault-Llorca, F 259
Pennington, CJ 569
Pennisi, G 1428
Pennucci, MC 1263
Pera, G 299
Peretz, T 681
Périé, S 1164
Perret, G-Y 1823
Perrier, H 69
Perrone, F 1233
Petridou, E 156
Petrillo, A 1809
Petroulakis, E 195
Pettersson, F 1853
Pezzella, F 1176
Pezzolo, A 1845
Pfeiffer, S 1672
Pharoah, PD 1921
Philippo, K 661
Philips, M 672
Philips, Z 1253
Pickles, MD 427, 1554
Piemonti, L 785
Pilotto, LS 1116
Pinedo, HM 1627
Pinel, M-C 1383
Pintér, T 1777
Pirie, L 1942
Pischon, T 299
Pistoia, V 1845
Pitchers, M 955
Plantade, A 1287
Platell, C 1116
Platt-Higgins, A 1057
Pless, M 1099
Polette, M 724
Pollice, AA 1144
Pollock, BH 161, 940
Polus, M 481
Polyzos, A 798
Pond, GR 1011, 1136
Ponder, BAJ 1921
Popa, J 578
Popat, S 18
Poston, GJ 982
Poulsen, AH 1339
Poveda, A 1797
Powell, MA 642
Powers, HJ 1942
Powles, T 51
Pozos, R 1176
Prall, F 976
Prendeville, J 1107
Price, A 1375
Primrose, JN 982
Priou, F 69
Proby, CM 1446
Prochilo, T 1263
Provencher, DM 436
Prudente, RY 654
Prus, D 681
Pühringer-Oppermann, F 203
Puisieux, A 13
Qian, W 806
Quan, L 686
Quesada Calvo, F 724
Quinn, M 1751
Quirós, JR 299
Rabitti, C 792
Rabkin, CS 548
Ramaioli, A 1516
Ramlau, R 1375
Ramsey, S 781
Rapiti, E 231
Ratel, D 1066
Ray, A 1765
Raymond, JS 1745
Redhead, DN 213
Redmond, M 1320
Reed, JE 1186
Reed, MWR 101
Reed, NS 62
Rees, M 982
Rees, MCP 1
Reeves, P 1186
Reitz, M 1785
Rembacken, BJ 311
Ren, F 436
Reni, M 785
Rensch-Boschert, K 578
Renshaw, L 1051
Ribatti, D 1845
Riboli, E 299
Ricci, S 473, 1164
Riede, U 128
Riemann, JF 1572
Rinaldi, S 299
Ring, AE 358
Riofrio, M 1610
Ris, H-B 1099
Risk, JM 561
Risuglia, N 1428
Ritter, G 681
Rivory, L 964
Robaszkiewicz, M 1214
Robboy, SJ 1734
Roberts, ISD 1949
Rocks, N 724
Rodenhuis, S 1226
Rodriguez, C 757
Rogers, SJ 631
Rogers, SN 561, 647
Rohan, TE 757
Rojo, F 1293
Rolland, F 1395
Romain, S 239
Romer, G 43
Ronnstrand, L 1180
Rosen, EM 407
Roskelley, C 1326
Ross, JA 731, 1663
Ross, PJ 1107
Ross, RJ 469
Ross, SR 548
Rossi, E 1233
Rossing, MA 1071
Rosso, S 743
Rosti, G 1016
Roth, AD 1099
Rothermundt, C 74
Rothman, KJ 142
Roy, D 1524
Roystacher, M 681
Royston, P 1785
Rozendaal, L 171
Rudant, J 763
Rudland, PS 1057
Ruggeri, EM 1789
Russell, C 1107
Russell, I 1253
Russo, F 1263
Rustin, GJS 62, 1231
Ruszkiewicz, A 593
Rutter, C 1071
Rykova, EY 1492
Ryoo, B-Y 959
Ryu, KW 1402
Saad, F 1906
Sabokbar, A 1496
Sadanaga, N 1894
Sadler, G 828
Saffroy, R 1180
Sagae, S 914
Saintigny, P 1164
Saisho, H 1575
Saito, H 1599
Saito, K 717
Saito, T 914
Saitoh, S 1803
Saka, H 1599
Sakata, R 737
Sakata, Y 1803
Salmon, A 308
Salonen, L 1697
Salud, A 969
Samali, A 398
Samonis, G 798
Sancho-Garnier, H 743
Santini, D 792
Sappino, AP 231
Sarbia, M 203
Sarp, S 231
Sasaguri, Y 710
Sasaki, A 1894
Sasaki, F 1510
Sasazuki, S 740
Sasieni, P 460
Sato, A 1586
Satoh, Y 1485
Saunders, PTK 1333
Sauter, G 128
Savage, P 51, 1217
Sawada, T 1510
Sawyer, TK 1710
Scagliotti, GV 1375
Scanlan, M 681
Schaap, GR 1837
Schäfer, C 1544
Schagen, FHE 1837
Schaller-Kranz, T 79
Scharpé, S 672
Schatzkin, A 757
Scheithauer, W 1122
Schernhammer, ES 928
Schiffman, M 1690
Schmeller, N 268
Schmid, RA 1099
Schmidt, M 1879
Schmiegel, W 1293
Schoemaker, MJ 1352
Schouten, LJ 165, 757
Schröder, FH 1093
Schrump, DS 1436
Schubert, H 231
Schubert, P 578
Schwartz, R 1144
Schwarz, S 1592
Schymura, MJ 1738
Scolyer, RA 904
Scoto, GM 1428
Scott, C 904
Scott, IS 1170
Scurry, JP 904
Seckl, MJ 51
Sehouli, J 1615
Seidel, A 1726
Seidel, P 1726
Seifalian, AM 1213
Seike, K 1816
Seimiya, H 341
Seitz, JF 69
Senan, S 625
Senn, H-J 524
Seshadri, T 1007
Seymour, JF 1007
Seymour, MT 1281
Shackney, SE 1144
Shah, E 828
Shahbazian, D 195
Shakespeare, WC 1710
Sham, JST 108
Shamimi-Noori, S 1436
Shamir, R 1537
Shankley, N 1107
Shanley, S 308
Shapiro, LH 1627
Sharma, R 964
Sharma, S 1029
Sharp, L 1253
Shaw, DE 1621
Shaw, E 1777
Shaw, EJ 1186
Shaw, RJ 561
Shearer, CJ 1568
Shepherd, FA 1452
Shepherd, N 1460
Sherman, ME 1690
Shetty, G 1460
Shibahara, T 698
Shibata, A 737
Shibata, K 552
Shida, T 1816
Shiiba, M 717
Shilling, V 828
Shimada, K 532
Shimajiri, S 710
Shimamura, T 1803
Shimizu, N 247, 599
Shimokata, K 1599
Shin, HJ 1407
Shinomura, Y 914
Shioiri, M 1816
Shionoya, H 854
Shipley, J 308
Shoji, T 1586
Short, D 51
Sibson, DR 1057
Sier, CFM 1035
Sierra, M 1797
Siersema, PD 1389
Silagy, C 1116
Silva, JM 161, 940
Simes, RJ 208
Simmonds, PC 982
Simon, R 128
Singh, KP 1524
Singh, S 85
Siu, LL 1136
Sjöström, M 1853
Skriver, MV 142
Skvortsova, TE 1492
Slimani, N 299
Smerage, JB 8
Smith, AN 904
Smith, CA 1144
Smith, D 1281
Smith, IE 358
Smith, P 806
Smith-Warner, SA 757
Snijders, PJF 171
So, T 896
Soda, H 1267
Sohn, SK 1407
Sonenberg, N 195
Song, H 1921
Song, SY 1678
Sonoda, T 914
Soo, KC 1546
Soon, Y 922
Sorbe, B 55
Sorensen, BS 1703
Sørensen, HT 142, 1339
Souglakos, J 798
Spaderna, S 1672
Spencer, A 1007
Sperl, dW 268
Spiegelman, D 757
Spielmann, M 1610
Spiliopoulos, A 1099
Spiro, SG 1763
Spisni, E 1300
Squire, JA 1452
St. James-Roberts, I 43
Stacker, SA 1355
Stahel, R 1099
Stahl, M 203
Staiger, W 578
Stanta, G 879
Starikov, AV 1492
Stassi, G 578
Stea, B 1777
Steffen, RP 1777
Steidler, A 578
Stein, R 828
Stephan, C 540
Stephenson, TP 891
Stern, C 1007
Steward, WP 1420
Stiller, CA 22
Stockler, MR 208
Stoehlmacher, J 281
Stone, N 1460
Storey, A 1446
Stratford, IJ 115
Stratton, MR 318
Streit, S 1879
Stricker, BHCh 752
Strieter, RM 1029
Strillacci, A 1300
Strohsnitter, WC 1734
Stuart, RC 637, 1568
Stueber, C 281
Stupp, R 1099
Südhoff, T 1293
Sudo, K 1575
Sugaya, M 896
Suggett, N 1898
Sugihara, K 1130
Sugimachi, K 1894
Sugimoto, T 1510
Sugio, K 896
Sugiyama, T 1369, 1586
Suh, JH 1777
Suita, S 1510
Summersgill, B 308
Summy, JM 1710
Sundar, SS 1650
Sutherland, RL 904
Suzuki, H 737, 914
Suzuki, K 1874
Suzuki, M 1369
Suzuki, R 1599
Suzuoki, M 275
Sweetman, J 499, 507
Swerdlow, AJ 1352
Symonds, R 62
Syrigos, K 798
Syrigos, KN 631
Szakmany, T 647
Szczesna, A 1375
Szegezdi, E 398
Taamma, A 1610
Tabone, S 1180
Taioli, E 1533
Tajiri, T 1510
Takabatake, D 247
Takagi, S 1580
Takahashi, H 247
Takahashi, O 1586
Takaku, T 599
Takano, M 1369
Takano, S 1816
Takano, T 1586
Takatani, H 1267
Takeuchi, H 1874
Takeuchi, S 1369
Takimoto, M 311
Takiuchi, H 1803
Tamakoshi, A 737
Tamkovich, SN 1492
Tan, EH 1546
Tanaka, F 1894
Tanaka, T 1586
Tanay, M 631
Taniere, P 922
Taniguchi, H 1599
Tanimoto, A 710
Tannock, IF 863, 1011
Tanzawa, H 698, 717
Tao, L 1164
Tao, Y 108
Tase, T 1586
Tatangelo, F 1809
Tattersall, MHN 208
Tazawa, H 854
Teague, J 318
Téhard, B 299
Tenen, DG 1918
Teng, NN 642
Teodoridis, JM 1087
Terasawa, K 914
Ternullo, MP 578
Terracciano, L 128
Terzoli, E 1789
Thar, TT 287
Theis, B 1107
Théobald, S 1041
Theodore, C 1395
Théou-Anton, N 1180
Thomas, AL 1420
Thomas, G 1472
Thomson, BNJ 213
Thörn, M 1478
Thürlimann, B 524
Thykjaer, T 1703
Tibaldi, C 1263
Tiedemann, K 1007
Tijssen, CC 752
Tilanus, HW 1389
Tillner, J 1293
Tilney, C 43
Timoshenko, AV 1154
Tirmarche, M 1342
Tisdale, MJ 731
Titus-Ernstoff, L 1734
Tokino, T 914
Tomasi, V 1300
Tonelli, D 69
Tonin, PN 436
Tonini, G 792
Topham, C 1281
Tornesello, ML 446
Tornillo, L 128
Torp Madsen, HH 218
Tortora, G 1604
Tötsch, M 1099
Touboul, E 473
Tourani, J-M 1383
Townsley, CA 1136
Toyota, M 914
Tozer, DJ 427, 1554
Tran, TCK 1389
Tranah, GJ 928
Trevino, JG 1710
Trevisan, G 879
Trichopoulos, D 156, 299
Trichopoulou, A 299
Trodella, L 792
Troiani, T 1604
Troisi, R 1734
Tronko, N 1472
Tsao, M 1136
Tsao, M-S 1452
Tseng, C-P 870
Tsousis, S 798
Tsuchiya, E 1485
Tsuda, H 1369, 1369
Tsugane, S 740
Tsukuda, K 247
Tsurutani, J 1267
Tsutsui, S 1874
Tumino, R 299
Turnbull, LW 427, 1554
Turner, L 492
Turpin, F 1610
Twelves, C 1122
Tynes, T 1352
Uchiumi, T 710
Ueki, M 1369
Ullrich, A 1879
ünal, C 1293
Unger, K 1472
Uramoto, H 896
Utting, JF 1420
Uzan, S 473
Uzawa, K 698, 717
Uzzan, B 1823
Vacca, A 1845
Valsesia-Wittmann, S 13
Vamvakas, L 798
van Beers, EH 333
van Berkel, MPA 1627
van Beusechem, VW 1837
van Bochove, A 625
van Dam, P 672, 1643
van de Velde, CJH 1035
van de Water, B 661
van Dekken, H 1389
van den Brandt, PA 165
Van den Eynden, GG 1643
Van der Auwera, I 1643
van der Gaast, A 1389
van Duijn, CM 752
van Duijn, W 1035
van Eijk, R 661
van Gils, CH 299
van Kemenade, FJ 171
van Krieken, JHJM 1035
Van Laere, SJ 1643
Van Laethem, JL 481
Van Marck, E 672
Van Marck, EA 1643
van Meerbeeck, JP 625
van Meerten, E 1389
van Tinteren, H 625
van Wezel, T 661
Van Zandwijk, N 1375
Vanden Bergh, P 904
Vannucchi, AM 1637
Vardy, J 1011
Vasei, M 128
Vasey, P 55
Vasey, PA 62
Vaughan, ED 561, 647
Vaughan, N 1942
Veerakumarasivam, A 569
Verhoef, S 333
Verkooijen, HM 231
Vermeulen, PB 672, 1643
Verspaget, HW 1035
Vias, M 1326
Vicent, J-M 969
Vincenzi, B 792
Vineis, P 299
Vlassov, VV 1492
Vlastos, G 231
Volant, A 1214
von Briel, C 1099
von der Maase, H 218
von Minckwitz, G 1615
von Moos, R 524
von Weyhern, C 203
Voss, S 1759
Vowler, SL 1170
Vyas, J 1446
Waddell, ID 1663
Waddell, KM 446
Wagner, GF 1154
Wæhre, H 820
Wakelam, MJO 1898
Walch, A 1472
Walker, C 1186
Walker, LG 1253
Walker, M 1107
Wallard, MJ 569
Wallin, K-L 1045, 1913
Wallis, JC 22
Walsh, G 358
Walters, SJ 492
Wanders, A 1478
Wang, HJ 108
Wang, Y 686
Ward, DG 287, 1898
Warnke, P 1186
Warrack, R 922
Warren, A 569
Washio, K 247
Wasylyk, B 1041
Watanabe, G 593
Watanabe, T 293
Watson, M 43, 499, 507
Wattchow, DA 1116
Waxman, J 346
Webb, A 806
Webb, T 318
Weber, D 1293
Weder, W 1029, 1099
Wee, J 1546
Wei, W 287, 1898
Weichert, W 540
Weiner, L 1621
Weinhäusl, A 323
Weinlich, G 835
Weinreb, DB 1948
Weirich, G 203
Weisberg, E 1765
Weiss, C 578
Weiss, NS 1071
Weiss, R 1504
Welch, R 55
Weller, D 1272
Weller, DP 1116
Weller, I 1504
Welsh, FKS 213
Wen, JM 108
Went, P 128
Wernli, M 1099
West, CML 115
West, J 1751
Westermayer, S 1718
Whitaker, NJ 339
White, B 189
White, S 1051
Whitehead, S 828
Whynes, D 1253
Wibom, C 1853
Wigmore, SJ 213, 731, 1663
Wiklund, F 1913
Wild, SH 1079
Wilkinson, PM 55, 947
Willeke, F 578
Willett, WC 928
Williams, S 372
Wilson, C 227
Wilson, GD 121
Winqvist, O 1478
Winslet, MC 1213
Winstanley, J 828
Winter, DC 1320
Winzer, K-J 540
Wion, D 1066
Wisløff, T 1559
Witlox, MA 1837
Wittmer, C 281
Wolk, A 757
Woll, PJ 1936
Wolschke, C 281
Wood, H 1751
Woolley, CM 1253
Wooster, R 318
Wright, DJ 1663
Wright, J 469
Wuisman, PIJM 1837
Wuyts, H 672
Xie, D 108
Xu, D 1658
Xu, N 686
Yaegashi, N 1369, 1586
Yamada, H 1130, 1586
Yamaguchi, K 1803
Yamaguchi, T 1575
Yamamoto, E 552
Yamamoto, K 1510
Yamamoto, M 1599
Yamamoto, T 311
Yamashita, T 1130
Yang, S-C 1029
Yang, SH 959
Yang, W 1213
Yasuda, K 1874
Yasumoto, K 896
Yau, T 18
Yee, D 465
Yen, W-C 654
Yeow, W-S 1436
Yokoe, H 698, 717
Yokoyama, Y 1586
Yoshikawa, N 311
Yoshikawa, Y 1894
Yoshimura, T 737
Young, A 51
Yovine, A 1610
Yu, MS 1402
Yu, W 1407
Yuana, Y 1627
Yubero, A 969
Zamagni, C 1016
Zanetti, R 743
Zdeb, MS 1738
Zelek, L 1610
Zelger, B 835
Zeng, YX 108
Zerbi, A 785
Zerilli, M 578
Zetterberg, A 1045
Zhang, G 686
Zhang, H 1650
Zhang, SM 757
Zhang, Y 599
Zhao, S 1658
Zheng, BY 1913
Zhou, C 686
Zhou, X 686
Zhu, C-Q 1452
Zhu, H 686
Zhu, YM 1936
Ziauddin, MF 1436
Zielinski, GD 171
Zilis, D 299
Zimmerman, RME 661
Ziras, N 798
Zitzelsberger, H 1472
Zohar, S 609
zur Hausen, A 578
Zurnadzhy, L 1472
